source_id,category,provider,endpoint,access_mode,auth,claimed_connected,evidence,evidence_exists,temporal_coverage,key_variables,license_risk,redistribution_allowed,authorization_risk
mee_surface_water_realtime,water_quality,生态环境部,https://szzdjc.cnemc.cn:8070/GJZ/Business/Publish/Main.html,HTML_PUBLIC,none,False,,False,current,"pH,DO,CODMn,NH3-N,TP,TN,water_temperature; lake stations may include chlorophyll_a and algae_density",public-page-no-documented-api,pending_review,False
hj1404_station_protocol,water_quality,生态环境部,https://www.mee.gov.cn/ywgz/fgbz/bz/bzwb/jcffbz/202501/t20250126_1101554.shtml,STANDARD,none,False,,False,2025-present,"station_id,time,parameter_code,value,status",open-standard,pending_review,False
nesdc_taihu_2007_2015,water_quality,国家生态科学数据中心,https://www.nesdc.org.cn/api/sdoMetadata/5fa53680042ebb70d0c833d7,API_METADATA_ORDER,JWT-or-contact,False,,False,2007-2015,"Secchi_depth,depth,water_temperature,EC,TSS,DO,pH,SiO3,PO4,NO2,NO3,NH3,COD,TP,TN,DOC",CC-BY-NC-4.0-and-download-authorization,pending_review,True
lake_geodata_taihu,water_quality,湖泊-流域科学数据中心,https://lake.geodata.cn/datapplication/index.html,ORDER_PORTAL,account-and-order,False,,False,historical,"water_quality,biology,meteorology,sediment,remote_sensing",terms-per-dataset,pending_review,True
geodata_taihu_2000_2020,water_quality,国家地球系统科学数据中心,https://www.geodata.cn/main/face_science_detail?guid=30292244868129,ORDER_PORTAL,account-and-order,False,,False,2000-2020,"TN,TP,chlorophyll_a,station_metadata",dataset-license-and-login,pending_review,True
cnern_taihu_monthly,water_quality,国家生态系统观测研究网络,https://www.cnern.org.cn/data/meta?id=41979,REGISTERED_DOWNLOAD,account,False,,False,historical,"nutrients,physicochemical_parameters",terms-per-dataset,pending_review,True
thqbca_zenodo,integrated,Scientific Data/Zenodo,https://zenodo.org/api/records/13917285,API_FILE_DIRECT,none,False,,False,historical,"water_quality,phytoplankton_biomass,phytoplankton_number,climate,water_level,FAC,chlorophyll_a,SDD,TSI",CC-license-check-record,pending_review,False
biotime_taihu_phyto,algae,BioTIME,https://biotime.st-andrews.ac.uk/selectStudy.php?study=741,FILE_DIRECT,none,False,,False,1991-2006,"species,abundance,biomass,time,location",terms-per-study,pending_review,False
wuxi_open_data,water_quality,无锡市公共数据开放平台,http://data.wuxi.gov.cn/,PORTAL_API_APPLICATION,account-or-online-authorization,False,,False,current-and-historical,"candidate_station_water_quality,hydrology",individual-dataset-authorization,pending_review,True
zhejiang_open_data,water_quality,浙江省公共数据开放平台,https://data.zjzwfw.gov.cn/dopServer/,PORTAL_API_APPLICATION,account-or-application,False,,False,current-and-historical,"candidate_station_water_quality,hydrology",individual-dataset-authorization,pending_review,True
suzhou_open_data,water_quality,苏州市公共数据开放平台,https://www.suzhou.gov.cn/szsrmzf/zfwj/202309/9ca88b1e06c14b17996804de32cc3b11.shtml,PORTAL_API_APPLICATION,account-or-application,False,,False,current-and-historical,"candidate_station_water_quality,hydrology",conditional-open-data,pending_review,True
cdse_sentinel2_l2a,remote_sensing,Copernicus Data Space Ecosystem,https://stac.dataspace.copernicus.eu/v1/collections/sentinel-2-l2a,STAC_API_OAUTH,optional-for-search-required-for-download,False,,False,2015-present,"B02,B03,B04,B05,B08,B8A,B11,SCL",Copernicus-free-use,conditional,True
cdse_sentinel3_olci_l2,remote_sensing,Copernicus Data Space Ecosystem,https://documentation.dataspace.copernicus.eu/APIs/SentinelHub/Data/S3OLCIL2.html,SENTINEL_HUB_API,OAuth,False,,False,2016-present,"water_leaving_reflectance,chlorophyll_related_bands,quality_flags",Copernicus-free-use,conditional,True
clms_lwq_nrt_300m_v2,remote_sensing,Copernicus Land Monitoring Service,https://documentation.dataspace.copernicus.eu/APIs/SentinelHub/Data/clms/bio-geophysical-parameters/water-bodies/lake-water-quality/lwq-nrt_global_300m_10daily_v2.html,SENTINEL_HUB_BYOC,OAuth,False,,False,2024-present,"CHLAMEAN,CHLAUNC,FCBPROB,water_leaving_reflectance",Copernicus-free-use,conditional,True
clms_lwq_catalog,remote_sensing,Copernicus Land Monitoring Service,https://csv.dataspace.copernicus.eu/CLMS/bio-geophysical/lake_water_quality/,FILE_DIRECT,none,False,,False,2002-present,"product_date,s3_path,size,product_metadata",Copernicus-free-use,conditional,False
nasa_lance_modis_viirs,remote_sensing,NASA LANCE,https://lance4.modaps.eosdis.nasa.gov/,HTTPS_API,Earthdata-token,False,,False,2000-present,"surface_reflectance,cloud_mask,thermal_or_ocean_color_products",NASA-data-policy,conditional,True
