rule_id,priority,partitions,exclude_partitions,path_regex,formats,is_fallback,cleaner_name,output_table,cleaner_status,expected_terminal_status,notes
R010,10,*,07_采集过程临时资料,,empty,False,exception_zero_byte,rejections,EXCEPTION,REJECTED,零字节文件，禁止进入有效数据
R011,11,*,07_采集过程临时资料,(^|/)~\$,*,False,exception_lockfile,rejections,EXCEPTION,REJECTED,Excel 临时锁文件（~$ 前缀），非数据
R012,12,*,07_采集过程临时资料,^(?!.*/~\$),probe_failed|unknown_binary|unreadable,False,exception_unreadable,rejections,EXCEPTION,REJECTED,打不开或格式无法识别，禁止进入有效数据
R013,13,*,07_采集过程临时资料,(^|/)\.[^/]+$,*,False,exception_temporary,rejections,EXCEPTION,REJECTED,隐藏文件与采集临时产物（如 .curl_cookies），非数据
R020,20,07_采集过程临时资料,,,*,False,exception_temporary,rejections,EXCEPTION,REJECTED,验证码与采集临时资料，不进入数据模型
R030,30,04_公开数据目录检索原始响应,,,*,False,clean_catalog_responses,source_registry,NEW,METADATA_ONLY,公开数据目录检索响应，只作目录元数据，不冒充观测值
R031,31,06_主数据采集与来源清单,,,*,False,clean_source_registry,source_registry,EXISTING,METADATA_ONLY,采集与来源清单，形成来源/授权/下载血缘表
R040,40,*,,/quarantine/,*,False,review_quarantined_assets,remote_sensing,NEW,QUARANTINED,隔离栅格复核：可修复则回表，否则 REJECTED
R050,50,*,,^(?!04_公开数据目录检索原始响应)(?!06_主数据采集与来源清单)(?!07_采集过程临时资料)(?!.*/quarantine/).*/bloom/,7z|rar|zip_container,False,clean_bloom_archive,labels,NEW,CLEANED,蓝藻压缩包，先安全解包与模式识别再判定标签来源
R051,51,*,,^(?!04_公开数据目录检索原始响应)(?!06_主数据采集与来源清单)(?!07_采集过程临时资料)(?!.*/quarantine/)(?!.*/bloom/),7z|rar,False,inspect_data_archive,source_registry,NEW,METADATA_ONLY,其余 RAR/7Z 数据包（如 THQBCA-V2.rar），安全清点后登记内容与来源
