task_id,variant,指标,horizon_days,month_offset,时间配对性质,未来目标真实性,trainable,train_rows,validation_rows,test_rows,label_provenance_observed,标签非空行数,标签月份覆盖,标签站点数,阳性行数,gate_status,证据文件,run_id,selected_family
T1,bloom,水华发生(二分类),1,0,same_month_proxy,否——目标=当月标签，非未来N天,True,586,31,40,proxy_derived,657.0,2005-02-2026-08,13.0,24.0,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T1-bloom-0m-s20260907,random_forest
T1,bloom,水华发生(二分类),3,0,same_month_proxy,否——目标=当月标签，非未来N天,True,586,31,40,proxy_derived,657.0,2005-02-2026-08,13.0,24.0,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T1-bloom-0m-s20260907,random_forest
T1,bloom,水华发生(二分类),7,0,same_month_proxy,否——目标=当月标签，非未来N天,True,586,31,40,proxy_derived,657.0,2005-02-2026-08,13.0,24.0,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T1-bloom-0m-s20260907,random_forest
T1,bloom,水华发生(二分类),15,0,same_month_proxy,否——目标=当月标签，非未来N天,True,586,31,40,proxy_derived,657.0,2005-02-2026-08,13.0,24.0,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T1-bloom-0m-s20260907,random_forest
T1,bloom,水华发生(二分类),30,1,real_future_monthly,是——月粒度未来月标签（非日尺度）,True,0,0,37,proxy_derived,657.0,2005-02-2026-08,13.0,24.0,NA,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T1-bloom-1m-s20260907-cv,persistence
T1,bloom,水华发生(二分类),60,2,real_future_monthly,是——月粒度未来月标签（非日尺度）,True,0,0,37,proxy_derived,657.0,2005-02-2026-08,13.0,24.0,NA,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T1-bloom-2m-s20260907-cv,persistence
T1,bloom,水华发生(二分类),90,3,real_future_monthly,是——月粒度未来月标签（非日尺度）,True,567,0,37,proxy_derived,657.0,2005-02-2026-08,13.0,24.0,FAIL,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,T1-bloom-3m-s20260907-cv,climatology_global
T2,coverage,水华覆盖率,1,0,same_month_proxy,否——目标=当月标签，非未来N天,False,0,0,40,proxy_derived,40.0,2024-09-2026-08,4.0,,,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,,
T2,coverage,水华覆盖率,3,0,same_month_proxy,否——目标=当月标签，非未来N天,False,0,0,40,proxy_derived,40.0,2024-09-2026-08,4.0,,,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,,
T2,coverage,水华覆盖率,7,0,same_month_proxy,否——目标=当月标签，非未来N天,False,0,0,40,proxy_derived,40.0,2024-09-2026-08,4.0,,,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,,
T2,coverage,水华覆盖率,15,0,same_month_proxy,否——目标=当月标签，非未来N天,False,0,0,40,proxy_derived,40.0,2024-09-2026-08,4.0,,,backend/model_runtime_v0_3/evaluation/availability_matrix.json; backend/model_runtime_v0_3/code/modeling_real/contracts_real.py:HORIZON_MONTH_MAP_V3; data-cleaning/storage/final_cleaned/TAIHU_CLEAN_FINAL_V1_20260831/tables/,,
