field_name,required,type,unit_or_allowed_values,description,owner_note
sample_id,yes,string,,唯一训练样本ID,建议由date+spatial_id+target_metric拼接
date,yes,date,YYYY-MM-DD,样本日期,必须能按时间排序
spatial_id,yes,string,,站点/网格/区域ID,空间粒度必须稳定
spatial_type,yes,enum,station|grid|region,空间粒度类型,同一训练表尽量只用一种粒度
target_metric,yes,enum,chlorophyll_a|bloom_area|blue_algae_biomass|bloom_label|risk_level|blue_algae_density|spatial_extent,预测目标,可先选一个重点目标
target_value,yes,number_or_string,,真实值或标签,unknown不能写成0
target_unit,yes,string,ug/L|km2|mg/L|0/1|level|10^4 cells/L,目标单位,分类标签也要说明编码
label_status,yes,enum,observed_positive|observed_negative|measured_value|unknown,标签证据状态,负样本必须有观测覆盖证据
source_type,yes,string,water_quality|weather|remote_sensing|hydrology|manual,主要来源类型,至少覆盖两类数据源
quality_flag,yes,enum,pass|warning|fail,质量标记,fail样本不得进入正式训练
water_temperature_C,recommended,number,C,水温,机理模型优先字段
air_temperature_C,recommended,number,C,气温,可作为温度替代或辅助
total_phosphorus_mg_L,recommended,number,mg/L,总磷,Monod营养盐限制输入
total_nitrogen_mg_L,recommended,number,mg/L,总氮,Monod营养盐限制输入
ammonia_nitrogen_mg_L,optional,number,mg/L,氨氮,解释性重点因子
dissolved_oxygen_mg_L,optional,number,mg/L,溶解氧,水质辅助因子
ph,optional,number,unitless,pH,水质辅助因子
solar_radiation_MJ_m2_day,recommended,number,MJ/m2/day,太阳辐射,光照条件
wind_speed_m_s,recommended,number,m/s,风速,低风速聚集风险
rainfall_mm_day,recommended,number,mm/day,降雨,气象扰动
relative_humidity_pct,optional,number,%,相对湿度,气象辅助因子
water_level_m,optional,number,m,水位,水文输入
flow_speed_m_s,optional,number,m/s,流速,水动力输入
chlorophyll_a_ug_L,optional,number,ug/L,叶绿素a,可作为目标或特征
bloom_area_km2,optional,number,km2,水华面积,可作为目标或特征
blue_algae_biomass_mg_L,optional,number,mg/L,蓝藻生物量,可作为目标或特征
fai,optional,number,unitless,FAI遥感指数,遥感反演特征
ndci,optional,number,unitless,NDCI遥感指数,遥感反演特征
feature_window_note,recommended,string,,特征窗口说明,说明是否为滞后/滚动特征
source_file,yes,string,,来源文件,用于追溯
